Nombre,Liga,Ofensiva,Defensiva,General
Varbergs BoIS FC,Swedish Allsvenskan,0.53,2.15,13.45
Young Boys,Swiss Raiffeisen League,2.27,1.26,66.8
Basel,Swiss Raiffeisen League,1.35,1.37,45.28
FC Lugano,Swiss Raiffeisen League,1.34,1.51,42.17
FC Luzern,Swiss Raiffeisen League,1.43,1.67,40.95
St Gallen,Swiss Raiffeisen League,1.51,1.77,40.72
FC Zurich,Swiss Raiffeisen League,1.25,1.68,36.52
Grasshoppers Zürich,Swiss Raiffeisen League,1.38,1.9,35.48
Servette,Swiss Raiffeisen League,1.18,1.66,35.22
FC Vaduz,Swiss Raiffeisen League,0.96,1.63,30.56
FC Sion,Swiss Raiffeisen League,1.16,2.04,28.07
Winterthur,Swiss Raiffeisen League,0.87,1.94,23.19
Fenerbahce,Turkish Turkcell Super Lig,2.11,1.25,64.31
Galatasaray,Turkish Turkcell Super Lig,1.94,1.14,63.5
Besiktas,Turkish Turkcell Super Lig,1.8,1.04,63
Adana Demirspor,Turkish Turkcell Super Lig,1.79,1.22,58.45
Trabzonspor,Turkish Turkcell Super Lig,1.58,1.42,49.63
Fatih Karagümrük,Turkish Turkcell Super Lig,1.81,1.66,49.32
Istanbul Basaksehir,Turkish Turkcell Super Lig,1.29,1.21,47.66
Konyaspor,Turkish Turkcell Super Lig,1.34,1.26,47.58
Sivasspor,Turkish Turkcell Super Lig,1.36,1.47,43.46
Kayserispor,Turkish Turkcell Super Lig,1.52,1.71,42.06
Antalyaspor,Turkish Turkcell Super Lig,1.3,1.52,40.74
Alanyaspor,Turkish Turkcell Super Lig,1.42,1.71,39.8
Kasimpasa,Turkish Turkcell Super Lig,1.26,1.57,39.07
Ankaragucu,Turkish Turkcell Super Lig,1.09,1.49,36.29
Istanbulspor,Turkish Turkcell Super Lig,1.15,1.8,32.08
Umraniyespor,Turkish Turkcell Super Lig,1.12,1.76,32.07
Gazisehir Gaziantep,Turkish Turkcell Super Lig,0.92,1.81,26.46
Giresunspor,Turkish Turkcell Super Lig,0.95,1.85,26.38
Hatayspor,Turkish Turkcell Super Lig,0.75,2.1,18.49
Dinamo Zagreb,UEFA Champions League,1.8,1.09,61.85
Viktoria Plzen,UEFA Champions League,1.82,1.41,54.85
Maccabi Haifa,UEFA Champions League,1.69,1.54,49.35
Slavia Prague,UEFA Europa League,1.83,1.06,63.09
Slovácko,UEFA Europa League,1.77,1.21,58.54
SC Dnipro-1,UEFA Europa League,1.55,1.28,52.11
Lech Poznan,UEFA Europa League,1.42,1.15,52.07
Steaua Bucuresti,UEFA Europa League,1.5,1.24,51.89
FK Partizan Belgrade,UEFA Europa League,1.41,1.17,51.22
Hapoel Be'er,UEFA Europa League,1.49,1.34,49.22
Apollon Limassol,UEFA Europa League,1.21,1.24,44.74
CFR 1907 Cluj,UEFA Europa League,1.22,1.33,42.98
Slovan Bratislava,UEFA Europa League,1.12,1.44,38.09
Ballkani,UEFA Europa League,1.2,1.76,33.76
Rigas Futbola Skola,UEFA Europa League,1.16,1.8,32.23
Zalgiris Vilnius,UEFA Europa League,1.1,1.79,30.99
Pyunik Yerevan,UEFA Europa League,0.87,1.9,23.79
Shamrock Rovers,UEFA Europa League,0.69,1.84,20.63
Red Star Belgrade,UEFA Europa League,1.75,1.19,58.52
Shakhtar Donetsk,UEFA Europa League,1.77,1.24,57.61
Ferencvaros,UEFA Europa League,1.61,1.22,54.55
Dynamo Kiev,UEFA Europa League,1.51,1.19,53.06
FC Sheriff Tiraspol,UEFA Europa League,1.51,1.27,51.36
FK Qarabag,UEFA Europa League,1.41,1.25,49.41
AEK Larnaca,UEFA Europa League,1.16,1.18,44.76
Ludogorets,UEFA Europa League,1.3,1.49,41.66
Omonia Nicosia,UEFA Europa League,1.25,1.57,38.72
HJK Helsinki,UEFA Europa League,0.94,1.71,28.47
Louisville City FC,United Soccer League,0.88,1.78,26.05
San Diego Loyal SC,United Soccer League,0.93,1.96,24.4
San Antonio FC,United Soccer League,0.76,1.7,24.32
Arizona United,United Soccer League,0.93,1.99,23.98
Sacramento Republic FC,United Soccer League,0.79,1.79,23.55
Colorado Springs Switchbacks FC,United Soccer League,0.77,1.9,21.48
Tampa Bay Rowdies,United Soccer League,0.71,1.87,20.62
Orange County SC,United Soccer League,0.73,2.02,19.13
Memphis 901 FC,United Soccer League,0.77,2.09,19.02
Birmingham Legion FC,United Soccer League,0.77,2.1,18.95
New Mexico United,United Soccer League,0.71,2.01,18.62
El Paso Locomotive FC,United Soccer League,0.69,2.13,16.89
Oakland Roots,United Soccer League,0.59,2.06,15.51
Miami FC,United Soccer League,0.53,1.95,15.43
Pittsburgh Riverhounds,United Soccer League,0.48,1.89,15.05
Charleston Battery,United Soccer League,0.57,2.17,14.11
Hartford Athletic,United Soccer League,0.64,2.41,13.04
Monterey Bay,United Soccer League,0.44,2.23,11.05
Rio Grande Valley FC Toros,United Soccer League,0.37,2.1,10.8
Indy Eleven,United Soccer League,0.41,2.22,10.53
Tulsa Roughnecks,United Soccer League,0.45,2.34,10.33
Detroit City FC,United Soccer League,0.29,2.03,9.78
Las Vegas Lights FC,United Soccer League,0.36,2.26,9.36
Loudoun United FC,United Soccer League,0.4,2.37,9.12
